time,open,high,low,close,tick_volume,spread,real_volume
2023-11-27,37698.23,37780.12,36714.06,37026.87,159363,536,0
2023-11-28,36978.74,38409.87,36875.67,37990.09,168997,522,0
2023-11-29,37912.08,38498.12,37568.97,37716.12,153688,0,0
2023-11-30,37691.28,38148.07,37469.05,37737.12,125173,0,0
2023-12-01,37739.7,39002.55,37603.45,38852.05,153328,0,0
2023-12-02,38721.69,39768.14,38656.12,39603.26,119695,525,0
2023-12-03,39510.51,39849.87,39282.37,39719.84,120837,290,0
2023-12-04,39750.59,42159.87,39742.29,42030.15,195827,0,0
2023-12-05,41895.55,44219.19,41371.01,44029.71,194924,0,0
2023-12-06,43804.02,44503.63,43333.48,43801.27,195128,0,0
2023-12-07,43849.58,44051.39,42829.54,43374.36,194313,124,0
2023-12-08,43381.7,44754.62,43075.43,44376.02,184667,0,0
2023-12-09,44417.18,44420.28,43725.27,43995.12,119721,732,0
2023-12-10,43937.25,44057.62,43574.28,43797.77,146386,175,0
2023-12-11,43802.04,43895.39,40153.27,41054.67,203974,0,0
2023-12-12,41129.51,42084.35,40631.59,41042.29,197250,0,0
2023-12-13,41163.58,43183.48,40508.53,42931.88,179589,0,0
2023-12-14,43051.37,43506.87,41546.36,42962.73,182393,0,0
2023-12-15,42930.93,43196.57,41636.45,42185.3,155647,0,0
2023-12-16,42129.95,42681.02,41607.97,42268.16,78891,360,0
2023-12-17,42208.75,42368.87,41482.08,41892.33,145927,0,0
2023-12-18,41849.79,42740.37,40490.76,42588.97,180433,0,0
2023-12-19,42467.26,43458.37,41767.4,42443.53,170286,0,0
2023-12-20,42408.74,44303.87,42169.17,43427.24,166892,0,0
2023-12-21,43498.04,44262.26,43279.32,43995.37,189490,0,0
2023-12-22,43933.37,44439.42,43414.71,43760.18,180290,0,0
2023-12-23,43805.95,44081.62,43301.87,43782.68,141265,316,0
2023-12-24,43747.51,43971.37,43428.08,43519.35,157685,297,0
2023-12-25,43516.21,43810.37,42541.63,43529.46,165706,0,0
2023-12-26,43515.64,43732.37,41523.42,42320.57,169341,0,0
2023-12-27,42320.39,43554.95,42097.4,43361.52,141992,0,0
2023-12-28,43353.39,43821.61,42267.93,42412.54,188699,0,0
2023-12-29,42443.35,43147.77,41658.24,41906.16,172217,0,0
2023-12-30,41789.39,42605.37,41526.03,42301.12,154595,219,0
2023-12-31,42200.5,42863.37,41961.51,42490.37,150276,0,0
2024-01-01,42399.15,43841.25,42004.56,43606.3,175116,391,0
2024-01-02,43525.76,45944.88,43327.49,45048.87,212293,0,0
2024-01-03,45103.87,45524.32,40633.98,42899.96,211733,0,0
2024-01-04,42816.82,44751.53,42592.24,44442.84,212287,0,0
2024-01-05,44507.83,44795.56,42332.23,43845.51,191792,0,0
2024-01-06,43831.77,44347.87,43432.61,43928.87,136889,0,0
2024-01-07,43892.87,44492.99,43754.49,44246.37,132135,0,0
2024-01-08,44144.96,47317.0,43179.33,47105.06,179531,0,0
2024-01-09,46862.01,47932.01,44803.07,45559.01,182399,0,0
2024-01-10,45413.25,46713.51,44322.71,45888.04,179980,0,0
2024-01-11,45743.14,49048.7,45525.05,46155.21,149388,0,0
2024-01-12,46167.01,46522.85,43132.55,43445.91,189092,0,0
2024-01-13,42806.05,43252.83,42406.96,42962.74,173778,0,0
2024-01-14,42989.7,43056.84,41924.5,42460.75,134394,0,0
2024-01-15,42488.17,43317.05,41669.71,42694.62,171499,0,0
2024-01-16,42587.78,43556.32,42016.56,43370.81,168522,0,0
2024-01-17,43379.88,43429.0,42162.82,42646.41,139803,0,0
2024-01-18,42572.94,42875.47,40591.07,41064.92,137217,0,0
2024-01-19,41098.3,42149.4,40228.0,41632.37,148118,0,0
2024-01-20,41620.68,41831.31,41408.92,41694.66,62678,0,0
2024-01-21,41658.51,41848.84,41505.25,41743.42,47966,0,0
2024-01-22,41712.44,41749.54,39365.82,39792.2,142511,0,0
2024-01-23,39688.54,40143.44,38504.31,39203.3,154098,0,0
2024-01-24,39159.36,40524.26,39159.36,39748.69,134308,0,0
2024-01-25,39683.64,40284.64,39510.8,39905.35,127700,0,0
2024-01-26,39875.83,42227.61,39793.1,41973.95,116173,0,0
2024-01-27,41843.83,42161.53,41384.1,42127.32,65589,340,0
2024-01-28,42148.33,42847.93,41675.38,41976.63,95959,0,0
2024-01-29,41828.47,43312.45,41593.81,43200.05,114787,0,0
2024-01-30,43138.12,43855.08,43073.48,43531.09,125631,0,0
2024-01-31,43507.67,43742.87,42256.25,42405.02,151960,0,0
2024-02-01,42391.17,43274.13,41835.03,43115.07,149553,0,0
2024-02-02,42957.95,43465.9,42530.12,42982.41,127140,0,0
2024-02-03,43168.99,43353.47,42864.89,43027.43,90717,0,0
2024-02-04,43008.51,43090.85,42509.65,42747.22,100314,236,0
2024-02-05,42785.56,43509.91,42140.7,42343.75,119674,50,0
2024-02-06,42288.96,43360.57,42288.96,43170.74,105746,128,0
2024-02-07,43092.07,44395.65,42752.56,44183.51,113083,0,0
2024-02-08,44134.11,45617.25,44121.29,45351.85,132090,0,0
2024-02-09,45360.45,48216.01,45211.56,47547.56,165291,0,0
2024-02-10,47245.14,48190.66,46877.21,47940.27,97169,0,0
2024-02-11,47910.73,48605.95,47582.45,48094.85,134955,21,0
2024-02-12,48098.38,50374.41,47710.99,49861.83,155636,0,0
2024-02-13,49925.49,50416.21,48308.52,49529.51,156409,131,0
2024-02-14,49499.6,52091.74,49256.58,51784.54,165232,0,0
2024-02-15,51703.65,52866.49,51369.83,51415.79,170003,0,0
